('13.58.96.235', '5658')
('204.44.80.149', '5658')
('13.59.51.88', '5658')
('35.176.9.99', '5658')
('18.220.61.60', '5658')
('69.197.167.10', '5658')
('144.217.73.178', '5658')
('18.220.80.187', '5658')
('94.23.102.99', '5658')
('18.220.153.127', '5658')
('176.106.59.120', '5658')
('78.28.250.81', '5658')
('13.58.32.109', '5658')
('66.70.181.150', '5658')
('52.53.240.164', '5658')
('18.220.66.63', '5658')
('18.220.153.105', '5658')
('52.14.43.234', '5658')
('35.177.7.71', '5658')
('35.176.153.47', '5658')
('18.220.117.196', '5658')
('18.220.150.243', '5658')
('35.176.190.103', '5658')
('13.59.160.51', '5658')
('52.14.172.79', '5658')
('18.220.13.245', '5658')
('127.0.0.1', '5658')
('13.58.130.118', '5658')
('78.28.250.56', '5658')
('13.58.187.216', '5658')
('52.15.161.172', '5658')
('52.15.146.142', '5658')
('13.59.232.121', '5658')
('18.220.151.181', '5658')
('35.177.41.235', '5658')
('94.113.207.67', '5658')
('45.63.64.36', '5658')
('18.220.84.90', '5658')
('13.59.1.109', '5658')
('13.58.227.96', '5658')
('13.58.186.134', '5658')
('52.14.235.151', '5658')
('167.114.120.121', '5658')
('167.114.120.121', '5658')
('167.114.120.121', '5658')
('167.114.120.121', '5658')
('83.179.254.252', '5658')
('167.114.120.121', '5658')
